name    R   v
-       -   [km/s]
-------------------------------------------------------------------------------
C17O_1-0	0.33333333333333337,0.4444444444444445,0.22222222222222224	-2.7348705370968927,-0.0,0.5469741074193786
C17O_2-1	0.06222222222222222,0.09523809523809523,0.015873015873015872,0.09333333333333334,0.06666666666666667,0.3333333333333333,0.17142857142857143,0.1219047619047619,0.04	4288270342809979,-1.2980846912748936,-1.1513330817782457,-0.7030736200430308,-0.020011583113179243,-0.0,0.058700643798659115,0.2054522532953069,0.9312056675332742
C18O_1-0	1	0
CO_2-1	    1	0
H13CO+_1-0	0.083,0.185,0.065,0.417,0.065,0.185	-0.038703275794581896,-0.03593875609496891,-0.03593875609496891,-0.03248310647045267,0.10332392377303559,0.10332392377303559
N2H+_1-0	0.012344306049822066,0.061165480427046275,0.0370329181494662,0.06183274021352314,0.04637455516014235,0.0031138790035587192,0.2591192170818506,0.13901245551601424,0.04637455516014235,0.0370329181494662,0.02780249110320285,0.04637455516014235,0.04637455516014235,0.13901245551601424,0.0370329181494662	.0,-8.0,-8.0,-0.6062383155297466,-0.6062383155297466,-0.6062383155297466,0.00829975310986164,0.9638903624604556,0.9638903624604556,5.555229754862131,5.555229754862131,5.555229754862131,5.9895891227487645,5.9895891227487645,6.941962255300199
NH2D_1-1	0.111,0.139,0.417,0.083,0.139,0.111	-5.086889485278791,-2.075925407229685,0.0,0.0,2.02010220300166,5.289248600605381
NH3_1-1	    0.07407388888916666,0.03703694444458333,0.08333337499993751,0.009259486110770834,0.046296430555354165,0.0166664750002875,0.046296430555354165,0.233333150000275,0.009259486110770834,0.1499997750003375,0.0166664750002875,0.009259486110770834,0.018518472222291665,0.009259486110770834,0.08333337499993751,0.046296430555354165,0.07407388888916666,0.03703694444458333	   -19.55,-19.4117,-7.81526,-7.3728,-7.23349,-0.250923,-0.213003,-0.132382,-0.075168,0.192266,0.311034,0.322042,0.460409,7.35132,7.46967,7.88669,19.3159,19.8513
NH3_2-2	    0.003333301481431934,0.02999971333288741,0.01666650740715967,0.02962943497912108,0.020741161893659245,0.0014811134150653125,0.01666650740715967,0.00846543909438674,0.009259347736763146,0.11666714444518766,0.39788439670906156,0.21296340535048242,0.00846543909438674,0.009259347736763146,0.01666650740715967,0.0014811134150653125,0.020741161893659245,0.02962943497912108,0.01666650740715967,0.02999971333288741,0.003333301481431934	    -26.5263,-26.0111,-25.9505,-16.3822,-16.3698,-15.8547,-0.58908,-0.53134,-0.501831,-0.013282,-0.003791,0.013282,0.523745,0.528408,0.562503,15.8642,16.3793,16.3917,25.9505,26.0111,26.5263
NH3_3-3	    0.010733009496302131,0.00735985296048313,0.0030055577436436044,0.00480854229574198,0.005822064679882719,0.007747582162706228,0.004347293335083804,0.010143100958382566,0.016829022799877465,0.009470045074613803,0.008298980350969324,0.155242221346987,0.40182836637346286,0.2567082403395913,0.008298980350969324,0.009470045074613803,0.009091068224585358,0.016829022799877465,0.010143100958382566,0.004347293335083804,0.007747582162706228,0.005822064679882719,0.00480854229574198,0.0030055577436436044,0.00735985296048313,0.010733009496302131	 -29.191744,-29.040794,-28.938523,-28.908067,-21.223649,-21.203441,-21.125222,-21.076291,-1.031924,-0.744554,-0.639734,-0.013401,-0.005589,0.016754,0.628569,0.778062,0.806082,1.005122,21.087456,21.136387,21.214619,21.234827,28.911408,28.941877,29.044147,29.195098
NH3_4-4	    0.0162,0.0163,0.2431,0.3008,0.3911,0.0163,0.0162	-30.49783692,-24.25907811,0.0,0.0,0.0,24.25907811,30.49783692
NH3_5-5	    0.010908094083102182,0.01094331436180219,0.3114934186170623,0.2618477672750524,0.3829559972180766,0.01094331436180219,0.010908094083102182	-31.2831290633,-25.9063412556,0.0,0.0,0.0,26.0285409785,31.4053287863
NH3_6-6	    0.007835043180103763,0.007849489164163769,0.3176445397341525,0.27424668979813166,0.3767397057791809,0.007849489164163769,0.007835043180103763	-31.4676413039,-26.9209859064,0.0,0.0,0.0,27.0406347326,31.5872901302
NH3_7-7	    0.005895249446561533,0.005902040511811535,0.37187945531709676,0.32151570095108367,0.2830102638150736,0.005902040511811535,0.005895249446561533	-31.477113386,-27.5133287373,0.0,0.0,0.0,27.3967468359,31.3605314845
NH3_8-8	    0.004595160145235221,0.004599394393775216,0.32411613507466286,0.28953472082869885,0.3679600350186173,0.004599394393775216,0.004595160145235221	-30.9752235915,-27.5837757531,0.0,0.0,0.0,27.4707274918,30.9752235915
NH3_9-9	    1.0	0
